ORDERNUMBER,SALES,ORDERDATE,PRODUCTLINE,COUNTRY,QUANTITYORDERED,CUSTOMERNAME,STATUS,YEAR,MONTH,QUARTER
10253,73959.99,2023-09-17,engine systems,Uk,14,MaxMove Transport,Cancelled,2023,2023-09,2023Q3
10254,55802.94,2023-05-24,passenger vehicles,Canada,82,Velocity Vehicles,Shipped,2023,2023-05,2023Q2
10255,49158.07,2023-01-29,passenger vehicles,Italy,84,MaxMove Transport,Cancelled,2023,2023-01,2023Q1
10257,75511.96,2023-12-24,passenger vehicles,Canada,65,EuroFleet Systems,Cancelled,2023,2023-12,2023Q4
10258,13021.94,2023-03-23,passenger vehicles,Japan,24,MetroFleet Auto Group,Delivered,2023,2023-03,2023Q1
10260,68801.45,2023-04-04,commercial trucks,Usa,48,DriveTech Distributors,Cancelled,2023,2023-04,2023Q2
10261,11235.02,2023-10-06,passenger vehicles,Japan,72,AutoNation Dealers,Delivered,2023,2023-10,2023Q4
10262,18794.65,2023-04-27,commercial trucks,Japan,21,AutoNation Dealers,Delivered,2023,2023-04,2023Q2
10263,79069.03,2023-01-06,chassis components,Japan,57,TransGlobal Motors,In Process,2023,2023-01,2023Q1
10264,39543.67,2023-05-04,passenger vehicles,Canada,48,Stokes-Ortiz,Delivered,2023,2023-05,2023Q2
10265,25420.43,2023-03-02,semi-trailers,Japan,7,MaxMove Transport,Cancelled,2023,2023-03,2023Q1
10266,51745.18,2023-07-22,passenger vehicles,Italy,19,MaxMove Transport,Cancelled,2023,2023-07,2023Q3
10267,60988.03,2023-07-03,engine systems,Japan,62,MaxMove Transport,Shipped,2023,2023-07,2023Q3
10268,63738.3,2023-05-07,transmission units,Canada,49,TransGlobal Motors,Delivered,2023,2023-05,2023Q2
10269,21855.27,2023-02-02,commercial trucks,Uk,91,EuroFleet Systems,Delivered,2023,2023-02,2023Q1
10270,35093.27,2023-06-19,passenger vehicles,Italy,28,MaxMove Transport,Shipped,2023,2023-06,2023Q2
10271,9470.18,2023-11-29,commercial trucks,Germany,56,DriveTech Distributors,Delivered,2023,2023-11,2023Q4
10272,14989.35,2023-11-27,passenger vehicles,Japan,38,FleetX Logistics Ltd.,Cancelled,2023,2023-11,2023Q4
10273,54787.17,2023-05-24,passenger vehicles,Germany,19,MaxMove Transport,Delivered,2023,2023-05,2023Q2
10274,40242.26,2023-06-23,passenger vehicles,Japan,57,EuroFleet Systems,In Process,2023,2023-06,2023Q2
10275,5980.9,2023-06-30,commercial trucks,Usa,65,MetroFleet Auto Group,Cancelled,2023,2023-06,2023Q2
10276,46026.11,2023-06-12,trailers,Japan,42,TransGlobal Motors,Delivered,2023,2023-06,2023Q2
10277,42340.56,2023-03-22,passenger vehicles,Italy,76,MetroFleet Auto Group,In Process,2023,2023-03,2023Q1
10278,8465.72,2023-08-05,passenger vehicles,Usa,63,FleetX Logistics Ltd.,Delivered,2023,2023-08,2023Q3
10279,64269.37,2023-01-21,passenger vehicles,France,77,Rowe-Arnold,In Process,2023,2023-01,2023Q1
10280,45214.11,2023-06-02,passenger vehicles,Australia,62,AutoNation Dealers,Delivered,2023,2023-06,2023Q2
10281,32341.89,2023-02-24,passenger vehicles,France,68,EuroFleet Systems,Delivered,2023,2023-02,2023Q1
10283,44103.26,2023-03-04,passenger vehicles,Australia,97,MaxMove Transport,Resolved,2023,2023-03,2023Q1
10284,59565.51,2023-10-14,passenger vehicles,Japan,64,MaxMove Transport,Delivered,2023,2023-10,2023Q4
10285,15524.84,2023-11-14,commercial trucks,Italy,29,George Group,Delivered,2023,2023-11,2023Q4
10286,29492.22,2023-11-26,commercial trucks,France,14,FleetX Logistics Ltd.,Shipped,2023,2023-11,2023Q4
10287,56800.14,2023-08-20,passenger vehicles,Canada,29,MetroFleet Auto Group,Delivered,2023,2023-08,2023Q3
10288,75127.38,2023-12-04,engine systems,Italy,19,MaxMove Transport,Delivered,2023,2023-12,2023Q4
10289,22576.93,2023-08-10,chassis components,Germany,22,FleetX Logistics Ltd.,In Process,2023,2023-08,2023Q3
10292,69155.5,2023-12-07,passenger vehicles,France,97,EuroFleet Systems,Delivered,2023,2023-12,2023Q4
10293,59743.22,2023-11-13,passenger vehicles,Italy,15,EuroFleet Systems,Delivered,2023,2023-11,2023Q4
10295,29291.53,2023-03-08,engine systems,Australia,89,FleetX Logistics Ltd.,Disputed,2023,2023-03,2023Q1
10296,22623.06,2023-08-12,semi-trailers,Uk,93,TransGlobal Motors,Delivered,2023,2023-08,2023Q3
10297,16077.27,2023-08-13,semi-trailers,Germany,25,AutoNation Dealers,Cancelled,2023,2023-08,2023Q3
10298,48283.53,2023-08-24,passenger vehicles,Australia,87,EuroFleet Systems,Delivered,2023,2023-08,2023Q3
10299,66544.66,2023-01-08,passenger vehicles,Uk,57,Santos Ltd,Cancelled,2023,2023-01,2023Q1
10300,43046.99,2023-06-10,commercial trucks,Japan,52,Velocity Vehicles,Shipped,2023,2023-06,2023Q2
10301,10100.38,2023-03-16,passenger vehicles,Usa,58,EuroFleet Systems,Resolved,2023,2023-03,2023Q1
10302,11690.85,2023-10-12,semi-trailers,France,52,MaxMove Transport,Resolved,2023,2023-10,2023Q4
10303,40911.4,2024-02-12,commercial trucks,Australia,8,MaxMove Transport,Cancelled,2024,2024-02,2024Q1
10304,33429.06,2024-09-04,passenger vehicles,France,59,MaxMove Transport,Delivered,2024,2024-09,2024Q3
10305,32009.87,2024-04-21,engine systems,Canada,30,FleetX Logistics Ltd.,Delivered,2024,2024-04,2024Q2
10306,23756.82,2024-03-27,passenger vehicles,Germany,61,TransGlobal Motors,In Process,2024,2024-03,2024Q1
10307,88373.14,2024-12-26,engine systems,Italy,43,"Hamilton, Vaughn and Howard",Delivered,2024,2024-12,2024Q4
10308,65835.82,2024-06-22,passenger vehicles,Australia,8,EuroFleet Systems,Delivered,2024,2024-06,2024Q2
10309,55854.82,2024-04-19,trailers,Japan,6,FleetX Logistics Ltd.,Cancelled,2024,2024-04,2024Q2
10310,20980.47,2024-02-13,passenger vehicles,Germany,12,MetroFleet Auto Group,Resolved,2024,2024-02,2024Q1
10311,26762.27,2024-05-18,transmission units,Uk,47,TransGlobal Motors,Delivered,2024,2024-05,2024Q2
10312,44197.64,2024-09-09,passenger vehicles,Australia,13,TransGlobal Motors,Delivered,2024,2024-09,2024Q3
10313,53603.78,2024-09-22,passenger vehicles,Italy,49,MetroFleet Auto Group,Delivered,2024,2024-09,2024Q3
10314,65092.93,2024-10-18,passenger vehicles,Germany,56,Lewis Group,Delivered,2024,2024-10,2024Q4
10315,4839.02,2024-08-07,commercial trucks,France,9,FleetX Logistics Ltd.,Delivered,2024,2024-08,2024Q3
10316,16812.43,2024-08-07,transmission units,France,32,Velocity Vehicles,Shipped,2024,2024-08,2024Q3
10317,6916.93,2024-04-02,trailers,Japan,50,Cohen and Sons,In Process,2024,2024-04,2024Q2
10318,31605.01,2024-10-28,commercial trucks,Usa,45,TransGlobal Motors,Delivered,2024,2024-10,2024Q4
10319,84538.64,2024-07-29,passenger vehicles,Uk,89,Barajas-Middleton,Delivered,2024,2024-07,2024Q3
10320,51357.52,2024-02-26,passenger vehicles,Usa,86,FleetX Logistics Ltd.,Delivered,2024,2024-02,2024Q1
10321,60107.59,2024-08-13,electrical systems,Japan,7,Jefferson-Dominguez,Delivered,2024,2024-08,2024Q3
10322,40397.84,2024-01-04,vehicle interiors,Italy,36,Velocity Vehicles,Delivered,2024,2024-01,2024Q1
10323,82699.39,2024-04-26,semi-trailers,Italy,30,Velocity Vehicles,Resolved,2024,2024-04,2024Q2
10324,89557.06,2024-01-24,passenger vehicles,Germany,80,DriveTech Distributors,Resolved,2024,2024-01,2024Q1
10325,84400.21,2024-01-06,commercial trucks,Australia,45,TransGlobal Motors,Delivered,2024,2024-01,2024Q1
10326,71018.84,2024-03-13,commercial trucks,Italy,91,MetroFleet Auto Group,Delivered,2024,2024-03,2024Q1
10327,17953.55,2024-10-13,chassis components,France,64,FleetX Logistics Ltd.,Delivered,2024,2024-10,2024Q4
10329,40884.11,2024-10-09,chassis components,Uk,99,EuroFleet Systems,In Process,2024,2024-10,2024Q4
10330,9125.41,2024-06-09,passenger vehicles,Japan,41,TransGlobal Motors,Delivered,2024,2024-06,2024Q2
10331,71026.11,2024-12-10,transmission units,Canada,28,MetroFleet Auto Group,Cancelled,2024,2024-12,2024Q4
10333,33635.93,2024-06-24,commercial trucks,Canada,24,EuroFleet Systems,Delivered,2024,2024-06,2024Q2
10334,18577.14,2024-08-07,passenger vehicles,Usa,9,Velocity Vehicles,Shipped,2024,2024-08,2024Q3
10335,13071.72,2024-03-07,passenger vehicles,Uk,53,EuroFleet Systems,Delivered,2024,2024-03,2024Q1
10336,46101.43,2024-12-02,passenger vehicles,Canada,16,MaxMove Transport,Cancelled,2024,2024-12,2024Q4
10337,34835.72,2024-06-23,passenger vehicles,France,9,MetroFleet Auto Group,Delivered,2024,2024-06,2024Q2
10338,63807.39,2024-04-23,commercial trucks,Canada,84,MaxMove Transport,Delivered,2024,2024-04,2024Q2
10339,41100.98,2024-06-30,electrical systems,Canada,68,MaxMove Transport,Resolved,2024,2024-06,2024Q2
10340,8374.52,2024-03-30,passenger vehicles,Japan,89,MetroFleet Auto Group,Cancelled,2024,2024-03,2024Q1
10341,67145.91,2024-08-31,commercial trucks,France,24,AutoNation Dealers,Delivered,2024,2024-08,2024Q3
10342,62518.13,2024-08-21,passenger vehicles,Japan,55,FleetX Logistics Ltd.,Resolved,2024,2024-08,2024Q3
10343,83792.76,2024-11-13,passenger vehicles,Usa,5,MaxMove Transport,Delivered,2024,2024-11,2024Q4
10344,27130.81,2024-06-06,semi-trailers,Canada,20,DriveTech Distributors,Delivered,2024,2024-06,2024Q2
10345,19819.78,2024-04-17,passenger vehicles,Canada,48,EuroFleet Systems,Resolved,2024,2024-04,2024Q2
10346,18314.23,2024-05-30,semi-trailers,Canada,7,Taylor-Green,On Hold,2024,2024-05,2024Q2
10347,71979.79,2024-06-03,transmission units,Uk,57,TransGlobal Motors,Delivered,2024,2024-06,2024Q2
10348,39449.25,2024-05-10,passenger vehicles,France,51,AutoNation Dealers,Shipped,2024,2024-05,2024Q2
10349,82893.12,2024-05-10,vehicle interiors,Usa,46,DriveTech Distributors,Delivered,2024,2024-05,2024Q2
10350,70095.54,2024-12-09,engine systems,Australia,16,EuroFleet Systems,Delivered,2024,2024-12,2024Q4
10351,43513.11,2024-03-17,semi-trailers,Italy,40,TransGlobal Motors,Cancelled,2024,2024-03,2024Q1
10352,64390.14,2024-12-19,passenger vehicles,Uk,94,AutoNation Dealers,Delivered,2024,2024-12,2024Q4
10353,30317.95,2024-07-15,engine systems,Uk,85,"Jones, Kirby and Morrison",On Hold,2024,2024-07,2024Q3
10355,18307.64,2024-03-10,passenger vehicles,Uk,23,DriveTech Distributors,Delivered,2024,2024-03,2024Q1
10356,72168.16,2024-06-01,passenger vehicles,Uk,75,TransGlobal Motors,Delivered,2024,2024-06,2024Q2
10357,51429.14,2024-04-01,commercial trucks,Usa,90,DriveTech Distributors,Delivered,2024,2024-04,2024Q2
10358,58558.86,2024-03-20,commercial trucks,France,56,Perry LLC,Shipped,2024,2024-03,2024Q1
10359,62165.51,2024-02-03,passenger vehicles,Italy,8,FleetX Logistics Ltd.,Delivered,2024,2024-02,2024Q1
10360,67228.81,2024-12-30,passenger vehicles,France,16,FleetX Logistics Ltd.,Shipped,2024,2024-12,2024Q4
10361,57595.13,2024-07-28,engine systems,Japan,56,"Craig, Willis and Johnson",Delivered,2024,2024-07,2024Q3
10362,89751.1,2024-01-31,transmission units,Australia,9,AutoNation Dealers,Cancelled,2024,2024-01,2024Q1
10363,78312.43,2024-12-22,passenger vehicles,Japan,88,TransGlobal Motors,Disputed,2024,2024-12,2024Q4
10364,21613.79,2024-02-25,semi-trailers,Canada,96,MaxMove Transport,Cancelled,2024,2024-02,2024Q1
10365,88414.6,2024-09-28,chassis components,Uk,43,Velocity Vehicles,Resolved,2024,2024-09,2024Q3
10366,13276.39,2024-04-02,passenger vehicles,France,24,Freeman Ltd,Delivered,2024,2024-04,2024Q2
10367,33333.06,2024-11-04,electrical systems,France,32,DriveTech Distributors,Delivered,2024,2024-11,2024Q4
10368,22425.44,2024-05-22,commercial trucks,Italy,28,AutoNation Dealers,Delivered,2024,2024-05,2024Q2
10369,59520.07,2024-12-23,passenger vehicles,Usa,78,AutoNation Dealers,Resolved,2024,2024-12,2024Q4
10371,87846.87,2024-07-01,chassis components,France,49,EuroFleet Systems,Shipped,2024,2024-07,2024Q3
10372,59222.91,2024-04-23,commercial trucks,Italy,44,MetroFleet Auto Group,Delivered,2024,2024-04,2024Q2
10373,27289.0,2024-05-06,commercial trucks,Australia,53,MetroFleet Auto Group,Cancelled,2024,2024-05,2024Q2
10374,34044.56,2024-09-27,passenger vehicles,France,75,MetroFleet Auto Group,In Process,2024,2024-09,2024Q3
10375,63164.72,2024-03-08,passenger vehicles,Usa,74,Davis-Medina,Delivered,2024,2024-03,2024Q1
10376,35771.39,2024-12-03,commercial trucks,Australia,46,MaxMove Transport,Delivered,2024,2024-12,2024Q4
10377,15190.38,2024-07-24,semi-trailers,Italy,88,Silva PLC,Delivered,2024,2024-07,2024Q3
10378,8494.01,2024-12-26,semi-trailers,Canada,29,AutoNation Dealers,Shipped,2024,2024-12,2024Q4
10379,48864.08,2024-09-04,trailers,Germany,95,DriveTech Distributors,Delivered,2024,2024-09,2024Q3
10380,81181.3,2024-01-15,transmission units,Japan,45,EuroFleet Systems,Delivered,2024,2024-01,2024Q1
10381,22635.8,2024-09-23,engine systems,Japan,1,EuroFleet Systems,Cancelled,2024,2024-09,2024Q3
10382,82271.8,2024-04-04,trailers,Japan,77,Velocity Vehicles,Delivered,2024,2024-04,2024Q2
10383,29464.75,2024-09-27,passenger vehicles,Germany,5,Martin-Frederick,On Hold,2024,2024-09,2024Q3
10384,9472.32,2024-07-08,semi-trailers,Usa,27,TransGlobal Motors,Delivered,2024,2024-07,2024Q3
10385,23804.0,2024-08-19,passenger vehicles,Australia,80,Velocity Vehicles,Delivered,2024,2024-08,2024Q3
10386,27823.82,2024-12-02,passenger vehicles,Uk,27,FleetX Logistics Ltd.,Delivered,2024,2024-12,2024Q4
10387,39813.47,2024-03-01,commercial trucks,Italy,23,EuroFleet Systems,Delivered,2024,2024-03,2024Q1
10388,57688.84,2024-07-18,electrical systems,Canada,58,TransGlobal Motors,Shipped,2024,2024-07,2024Q3
10389,57969.26,2024-07-07,chassis components,Australia,88,FleetX Logistics Ltd.,Delivered,2024,2024-07,2024Q3
10390,47704.83,2024-06-12,semi-trailers,Canada,47,Velocity Vehicles,Delivered,2024,2024-06,2024Q2
10391,35849.44,2024-05-29,passenger vehicles,Germany,38,Velocity Vehicles,Delivered,2024,2024-05,2024Q2
10392,30538.78,2024-03-03,commercial trucks,Japan,34,Chapman-Carlson,Delivered,2024,2024-03,2024Q1
10393,50042.26,2024-09-06,semi-trailers,Germany,33,Velocity Vehicles,Shipped,2024,2024-09,2024Q3
10394,22321.77,2024-09-05,chassis components,Australia,85,FleetX Logistics Ltd.,Delivered,2024,2024-09,2024Q3
10395,54755.14,2024-08-30,passenger vehicles,Italy,93,TransGlobal Motors,Shipped,2024,2024-08,2024Q3
10396,71890.08,2024-07-04,commercial trucks,Australia,45,Taylor Ltd,Delivered,2024,2024-07,2024Q3
10397,41916.91,2024-04-12,commercial trucks,France,43,AutoNation Dealers,Delivered,2024,2024-04,2024Q2
10398,12760.36,2024-04-07,passenger vehicles,Italy,86,FleetX Logistics Ltd.,Cancelled,2024,2024-04,2024Q2
10399,62351.66,2024-10-08,trailers,France,89,EuroFleet Systems,Delivered,2024,2024-10,2024Q4
10400,16129.04,2024-07-05,vehicle interiors,France,42,FleetX Logistics Ltd.,Delivered,2024,2024-07,2024Q3
10401,68886.16,2024-05-02,passenger vehicles,Italy,87,MaxMove Transport,Delivered,2024,2024-05,2024Q2
10402,6846.86,2024-05-08,passenger vehicles,Germany,6,AutoNation Dealers,Delivered,2024,2024-05,2024Q2
10403,14579.96,2024-03-07,passenger vehicles,Italy,44,Evans PLC,Delivered,2024,2024-03,2024Q1
10404,65551.75,2024-11-20,commercial trucks,Australia,31,Morris Ltd,In Process,2024,2024-11,2024Q4
10405,13745.77,2024-11-09,engine systems,Germany,88,EuroFleet Systems,Delivered,2024,2024-11,2024Q4
10406,8479.84,2024-12-14,commercial trucks,Australia,76,TransGlobal Motors,Delivered,2024,2024-12,2024Q4
10407,39390.79,2024-08-22,passenger vehicles,France,70,EuroFleet Systems,Delivered,2024,2024-08,2024Q3
10408,70194.79,2024-07-31,engine systems,Japan,16,MaxMove Transport,Delivered,2024,2024-07,2024Q3
10409,57183.05,2024-06-03,commercial trucks,Usa,16,"Dean, Scott and Jones",Delivered,2024,2024-06,2024Q2
10410,31626.0,2024-06-28,trailers,France,43,TransGlobal Motors,Cancelled,2024,2024-06,2024Q2
10411,26807.49,2024-07-10,trailers,Italy,99,MaxMove Transport,Shipped,2024,2024-07,2024Q3
10412,46219.48,2024-05-01,passenger vehicles,Australia,92,TransGlobal Motors,Delivered,2024,2024-05,2024Q2
10413,27208.85,2024-11-22,passenger vehicles,France,11,TransGlobal Motors,In Process,2024,2024-11,2024Q4
10414,84948.91,2024-11-26,passenger vehicles,Italy,38,DriveTech Distributors,Delivered,2024,2024-11,2024Q4
10415,37943.44,2024-04-24,commercial trucks,Usa,90,MetroFleet Auto Group,Delivered,2024,2024-04,2024Q2
10416,85186.22,2024-07-06,passenger vehicles,Australia,61,MetroFleet Auto Group,Cancelled,2024,2024-07,2024Q3
10417,84649.19,2024-11-04,semi-trailers,Canada,70,Reed Inc,Delivered,2024,2024-11,2024Q4
10418,35259.23,2024-07-01,passenger vehicles,France,14,TransGlobal Motors,Delivered,2024,2024-07,2024Q3
10419,83800.14,2024-09-16,commercial trucks,Japan,9,TransGlobal Motors,Resolved,2024,2024-09,2024Q3
10421,63381.32,2024-02-06,semi-trailers,Japan,29,DriveTech Distributors,On Hold,2024,2024-02,2024Q1
10422,84972.62,2024-11-21,passenger vehicles,Uk,9,EuroFleet Systems,Delivered,2024,2024-11,2024Q4
10423,75354.72,2024-11-09,commercial trucks,France,34,FleetX Logistics Ltd.,Cancelled,2024,2024-11,2024Q4
10424,63839.86,2024-01-14,chassis components,Uk,21,FleetX Logistics Ltd.,Delivered,2024,2024-01,2024Q1
10425,50113.58,2024-05-21,semi-trailers,Canada,93,DriveTech Distributors,In Process,2024,2024-05,2024Q2
10426,34430.52,2024-08-26,transmission units,Japan,46,TransGlobal Motors,Delivered,2024,2024-08,2024Q3
10427,68728.53,2024-02-05,passenger vehicles,Canada,99,EuroFleet Systems,Resolved,2024,2024-02,2024Q1
10428,21156.98,2024-02-01,commercial trucks,Uk,10,FleetX Logistics Ltd.,Delivered,2024,2024-02,2024Q1
10429,83180.14,2024-03-01,commercial trucks,Italy,83,EuroFleet Systems,Delivered,2024,2024-03,2024Q1
10430,6978.51,2024-09-19,passenger vehicles,Uk,99,Marsh-Campbell,Cancelled,2024,2024-09,2024Q3
10431,19344.86,2024-12-30,passenger vehicles,Usa,73,Velocity Vehicles,Shipped,2024,2024-12,2024Q4
10432,88007.81,2024-12-17,engine systems,Italy,9,AutoNation Dealers,In Process,2024,2024-12,2024Q4
10433,30240.1,2024-05-12,commercial trucks,Uk,9,DriveTech Distributors,Delivered,2024,2024-05,2024Q2
10434,78829.8,2024-03-08,passenger vehicles,Uk,11,Velocity Vehicles,Delivered,2024,2024-03,2024Q1
10435,23654.24,2024-12-02,passenger vehicles,Australia,19,MaxMove Transport,Delivered,2024,2024-12,2024Q4
10437,52115.85,2024-05-06,commercial trucks,France,55,Castaneda-Martinez,Delivered,2024,2024-05,2024Q2
10438,18399.52,2024-12-07,trailers,Japan,85,Velocity Vehicles,Resolved,2024,2024-12,2024Q4
10439,47954.45,2024-07-13,passenger vehicles,Australia,72,MaxMove Transport,Delivered,2024,2024-07,2024Q3
10440,68789.31,2025-04-19,passenger vehicles,Canada,45,Velocity Vehicles,Shipped,2025,2025-04,2025Q2
10441,72268.74,2025-04-28,commercial trucks,Usa,79,Velocity Vehicles,Shipped,2025,2025-04,2025Q2
10442,100706.52,2025-11-25,passenger vehicles,Japan,2,TransGlobal Motors,Delivered,2025,2025-11,2025Q4
10443,92493.6,2025-06-25,commercial trucks,Uk,46,"Smith, Stevens and Franklin",In Process,2025,2025-06,2025Q2
10444,57097.28,2025-01-08,commercial trucks,Usa,4,EuroFleet Systems,Delivered,2025,2025-01,2025Q1
10445,25242.05,2025-08-31,passenger vehicles,Australia,46,FleetX Logistics Ltd.,On Hold,2025,2025-08,2025Q3
10446,11746.93,2025-04-12,commercial trucks,Italy,44,FleetX Logistics Ltd.,In Process,2025,2025-04,2025Q2
10447,78718.29,2025-10-12,passenger vehicles,Uk,10,EuroFleet Systems,Shipped,2025,2025-10,2025Q4
10448,65114.14,2025-04-26,passenger vehicles,Canada,16,DriveTech Distributors,Delivered,2025,2025-04,2025Q2
10449,17155.81,2025-02-13,engine systems,Canada,98,Blackburn and Sons,Delivered,2025,2025-02,2025Q1
10451,100131.08,2025-03-23,semi-trailers,France,9,EuroFleet Systems,Shipped,2025,2025-03,2025Q1
10452,14106.35,2025-04-06,passenger vehicles,Usa,20,EuroFleet Systems,Delivered,2025,2025-04,2025Q2
10453,103826.6,2025-04-24,passenger vehicles,Canada,42,MaxMove Transport,Cancelled,2025,2025-04,2025Q2
10454,95916.05,2025-07-07,commercial trucks,Germany,4,AutoNation Dealers,Cancelled,2025,2025-07,2025Q3
10456,10325.79,2025-06-04,vehicle interiors,Japan,47,MetroFleet Auto Group,Shipped,2025,2025-06,2025Q2
10457,31981.28,2025-02-24,engine systems,Uk,89,"Foster, Bradley and Barnes",Delivered,2025,2025-02,2025Q1
10458,27324.07,2025-01-26,passenger vehicles,Italy,91,Velocity Vehicles,Delivered,2025,2025-01,2025Q1
10459,48900.99,2025-07-31,passenger vehicles,Germany,14,FleetX Logistics Ltd.,In Process,2025,2025-07,2025Q3
10460,112125.59,2025-06-22,commercial trucks,Australia,83,MaxMove Transport,In Process,2025,2025-06,2025Q2
10461,9689.81,2025-03-26,engine systems,Uk,54,FleetX Logistics Ltd.,Shipped,2025,2025-03,2025Q1
10462,20775.22,2025-01-19,passenger vehicles,Canada,59,EuroFleet Systems,Shipped,2025,2025-01,2025Q1
10463,21294.9,2025-07-06,passenger vehicles,France,32,DriveTech Distributors,Delivered,2025,2025-07,2025Q3
10464,107917.12,2025-02-20,passenger vehicles,Uk,72,DriveTech Distributors,Delivered,2025,2025-02,2025Q1
10465,57740.42,2025-06-11,semi-trailers,Japan,45,AutoNation Dealers,Shipped,2025,2025-06,2025Q2
10466,18436.71,2025-12-30,passenger vehicles,Uk,71,AutoNation Dealers,Shipped,2025,2025-12,2025Q4
10467,40952.28,2025-10-27,chassis components,Canada,90,MaxMove Transport,Delivered,2025,2025-10,2025Q4
10468,65020.03,2025-08-05,passenger vehicles,Italy,30,AutoNation Dealers,Delivered,2025,2025-08,2025Q3
10469,9050.43,2025-02-05,trailers,Uk,8,Anderson-Johnson,In Process,2025,2025-02,2025Q1
10470,34855.62,2025-10-11,transmission units,Italy,49,MaxMove Transport,Delivered,2025,2025-10,2025Q4
10471,50687.4,2025-06-24,electrical systems,Germany,49,EuroFleet Systems,Delivered,2025,2025-06,2025Q2
10473,7949.62,2025-04-20,trailers,Canada,1,EuroFleet Systems,Delivered,2025,2025-04,2025Q2
10474,84845.72,2025-02-19,commercial trucks,Germany,64,MaxMove Transport,Delivered,2025,2025-02,2025Q1
10475,55363.89,2025-01-12,commercial trucks,Germany,3,Velocity Vehicles,Delivered,2025,2025-01,2025Q1
10476,117454.44,2025-09-01,commercial trucks,Canada,51,EuroFleet Systems,Delivered,2025,2025-09,2025Q3
10477,64748.09,2025-12-15,semi-trailers,Usa,14,AutoNation Dealers,Shipped,2025,2025-12,2025Q4
10478,88133.79,2025-10-25,passenger vehicles,Canada,42,Duke and Sons,Shipped,2025,2025-10,2025Q4
10479,10267.47,2025-04-24,chassis components,Australia,82,Velocity Vehicles,Resolved,2025,2025-04,2025Q2
10480,106205.17,2025-08-05,transmission units,Uk,70,DriveTech Distributors,In Process,2025,2025-08,2025Q3
10481,47089.84,2025-07-04,semi-trailers,Australia,40,EuroFleet Systems,Delivered,2025,2025-07,2025Q3
10482,68499.76,2025-11-15,passenger vehicles,Italy,12,MetroFleet Auto Group,Delivered,2025,2025-11,2025Q4
10483,69991.26,2025-11-24,chassis components,Usa,36,FleetX Logistics Ltd.,Delivered,2025,2025-11,2025Q4
10484,44926.32,2025-11-15,commercial trucks,Usa,70,EuroFleet Systems,Shipped,2025,2025-11,2025Q4
10485,53008.49,2025-02-19,trailers,Japan,67,Velocity Vehicles,Shipped,2025,2025-02,2025Q1
10487,77052.92,2025-05-26,chassis components,Germany,25,DriveTech Distributors,Delivered,2025,2025-05,2025Q2
10488,78336.57,2025-08-01,passenger vehicles,Germany,81,Velocity Vehicles,Delivered,2025,2025-08,2025Q3
10489,97487.24,2025-12-19,passenger vehicles,Japan,81,Brown Ltd,In Process,2025,2025-12,2025Q4
10490,80672.21,2025-05-08,passenger vehicles,Usa,76,Dean Ltd,Delivered,2025,2025-05,2025Q2
10491,103187.7,2025-10-19,passenger vehicles,France,69,Mason PLC,Delivered,2025,2025-10,2025Q4
10492,47372.77,2025-12-29,passenger vehicles,Japan,93,MetroFleet Auto Group,Shipped,2025,2025-12,2025Q4
10493,76127.92,2025-02-08,passenger vehicles,Australia,53,AutoNation Dealers,Delivered,2025,2025-02,2025Q1
10494,42604.49,2025-03-25,passenger vehicles,Usa,75,Velocity Vehicles,Shipped,2025,2025-03,2025Q1
10495,27950.85,2025-02-24,commercial trucks,Usa,77,FleetX Logistics Ltd.,Shipped,2025,2025-02,2025Q1
10496,50727.64,2025-11-02,passenger vehicles,Japan,65,EuroFleet Systems,In Process,2025,2025-11,2025Q4
10497,40442.59,2025-01-13,passenger vehicles,Uk,48,Velocity Vehicles,Shipped,2025,2025-01,2025Q1
10498,52765.07,2025-03-02,transmission units,Australia,92,DriveTech Distributors,Delivered,2025,2025-03,2025Q1
10500,57195.65,2025-06-12,passenger vehicles,Uk,26,EuroFleet Systems,In Process,2025,2025-06,2025Q2
10501,59450.44,2025-03-28,chassis components,Australia,3,"Dougherty, Little and Welch",In Process,2025,2025-03,2025Q1
10502,63153.9,2025-06-28,vehicle interiors,Canada,4,MaxMove Transport,Delivered,2025,2025-06,2025Q2
10503,103254.2,2025-08-15,commercial trucks,Germany,84,FleetX Logistics Ltd.,Shipped,2025,2025-08,2025Q3
10504,108306.94,2025-06-13,commercial trucks,Canada,31,AutoNation Dealers,Delivered,2025,2025-06,2025Q2
10505,16174.66,2025-05-26,passenger vehicles,Italy,15,FleetX Logistics Ltd.,Delivered,2025,2025-05,2025Q2
10506,22904.51,2025-06-25,commercial trucks,France,90,DriveTech Distributors,Cancelled,2025,2025-06,2025Q2
10507,38986.13,2025-03-03,transmission units,France,9,"Wood, Ross and Cunningham",Delivered,2025,2025-03,2025Q1
10508,30625.13,2025-11-14,passenger vehicles,France,86,FleetX Logistics Ltd.,Shipped,2025,2025-11,2025Q4
10509,53029.49,2025-07-04,passenger vehicles,France,46,FleetX Logistics Ltd.,In Process,2025,2025-07,2025Q3
10510,79871.88,2025-01-07,passenger vehicles,Italy,59,MetroFleet Auto Group,In Process,2025,2025-01,2025Q1
10511,38221.49,2025-02-26,semi-trailers,Germany,7,TransGlobal Motors,In Process,2025,2025-02,2025Q1
10512,82330.0,2025-10-01,passenger vehicles,Germany,27,MaxMove Transport,In Process,2025,2025-10,2025Q4
